,name,url,views,comments
941,"«Мой круг» узнал, как приходят в IT",https://www.gb.ru/posts/road_to_it_moikrug,11043,9
942,Стартует курс «Маркетинг для предпринимателей»,https://www.gb.ru/posts/marketing_new_course,8205,0
943,Страх и ненависть искусственного интеллекта: проблемы этики,https://www.gb.ru/posts/ai_ethics,15179,27
944,Как стать Android-разработчиком — интервью с деканом,https://www.gb.ru/posts/how_to_android%20,9482,8
945,Как проходят собеседования в крупных компаниях,https://www.gb.ru/posts/big_companies_interview,14784,8
946,Методологии разработки ПО: Kanban,https://www.gb.ru/posts/kanban_howto,25245,2
947,Сеньор-маркетинг: что это и как с ним работать,https://www.gb.ru/posts/senior_marketing_howto,6957,1
948,IT-тренды: из 2018 в 2019,https://www.gb.ru/posts/it_from_2018_to_2019,7682,11
949,Налоги и фриланс в 2019 году: кому это нужно?,https://www.gb.ru/posts/tax_and_freelance_2019,22335,35
950,Нестандартные решения для ведения списков,https://www.gb.ru/posts/list_management_solutions,18520,2
951,20 UX-элементов с открытым кодом,https://www.gb.ru/posts/20_opensource_ux_elements,9182,4
952,"Игры, чтобы попрактиковаться в вёрстке",https://www.gb.ru/posts/games_for_frontend_practice,77761,16
953,10 сайтов с необычным дизайном,https://www.gb.ru/posts/10_websites_with_unusual_design,44380,1
954,Идеальный код на Python,https://www.gb.ru/posts/python_ideal_code,106322,13
955,А/В-тестирование лендингов,https://www.gb.ru/posts/ab_landing_testing,10506,3
956,«Рекрутеры не дают прохода» — история веб-разработчика,https://www.gb.ru/posts/gu_from_business_to_it,12893,32
957,Чем заняться на досуге: настолки ,https://www.gb.ru/posts/board_games_for_geeks,7478,5
958,Как проявляется «профдеформация» программиста,https://www.gb.ru/posts/programmers_deformation,20647,34
959,О стажировке и учебе в GeekBrains,https://www.gb.ru/posts/gb_from_java_to_web,15217,14
960,Отражение «Черного зеркала»: что просочилось в реальность,https://www.gb.ru/posts/black_mirror_to_reality,30757,4
961,С Дня карьеры в «Альфа-Банк»: история студента GU,https://www.gb.ru/posts/alfa_bank_gu_student,12663,12
962,Методологии разработки ПО: Agile,https://www.gb.ru/posts/methodologies_agile,59770,20
963,Реферальная программа GeekBrains: как все устроено? ,https://www.gb.ru/posts/partner_program,18404,84
964,"На что смотрят работодатели, когда оценивают ваш код",https://www.gb.ru/posts/gb_ideal_code,37893,47
965,Большие данные и умные города: как подготовиться к будущему?,https://www.gb.ru/posts/big_cities_big_data,13660,0
966,Influencer Marketing в России: рассказывают эксперты,https://www.gb.ru/posts/influencer_marketing_howto,17476,6
967,Из юристов в программисты,https://www.gb.ru/posts/from_lawyer_to_programmer,46328,44
968,#КОГОУБИВАТЬ: фильм об информационной свободе,https://www.gb.ru/posts/freedom_internet,7622,12
969,Где попрактиковаться в программировании: 30 ресурсов,https://www.gb.ru/posts/resources_for_programming_practice,191481,38
970,Киберспорт как бизнес и профессия,https://www.gb.ru/posts/cybersport_howto,40927,4
971,8 типичных ошибок дизайнера в общении с клиентом,https://www.gb.ru/posts/8_typical_communication_errors,13848,10
972,Все о YouTube. Часть 3: как раскрутить канал,https://www.gb.ru/posts/youtube_channel_howto_pt3,13089,0
973,"10 фильмов, мотивирующих учиться",https://www.gb.ru/posts/10_movies_motivates_to_learn,204069,63
974,Итоги digital 2018: куда мы движемся,https://www.gb.ru/posts/digital_2018_resume_part2,7516,6
975,Все о YouTube. Часть 2: как снимать видео,https://www.gb.ru/posts/youtube_channel_howto_pt2,19324,0
976,11 приложений для тренировки ума,https://www.gb.ru/posts/apps_for_brains,65638,42
977,Что нового на факультете веб-разработки в GU,https://www.gb.ru/posts/gu_webdev_whats_new,7511,15
978,"Хочу сделать портфолио, но лень",https://www.gb.ru/posts/i_wanna_portfolio_but_lazy,17191,5
979,60+ Telegram-каналов для гиков,https://www.gb.ru/posts/tg_channels_for_geeks,87621,30
980,Что можно успеть сделать за новогодние каникулы,https://www.gb.ru/posts/what_to_do_on_holidays,39643,8
981,Итоги digital 2018: ситуация в отрасли,https://www.gb.ru/posts/digital_2018_resume,14509,12
982,В гейм-дизайнеры с нуля. Часть 2,https://www.gb.ru/posts/gamedesign_from_scratch_pt2,17089,2
983,"Типичный SMM, или Как писать не надо",https://www.gb.ru/posts/smm_how_not_to_do,13575,11
984,Взгляд изнутри: как работается в «Альфа-Банке»,https://www.gb.ru/posts/alfa_bank_inside,36258,0
985,Как «защищать» свой дизайн перед клиентом,https://www.gb.ru/posts/how_to_defend_design,12950,5
986,TED на английском — рай для дизайнера,https://www.gb.ru/posts/ted_for_designers_lections,5429,0
987," В гейм-дизайнеры с нуля: как делать игры, если нет опыта",https://www.gb.ru/posts/gamedesign_from_scratch_pt1,25886,17
988,Еженедельный дайджест для дизайнера и разработчика,https://www.gb.ru/posts/designers_resources_digest_17_12,6101,0
989,7 инструментов маркетолога: покоряем международную аудиторию,https://www.gb.ru/posts/7_marketing_instruments,12341,1
990,Стэн Ли: «Мир для меня — книжка комиксов»,https://www.gb.ru/posts/stan_lee,3917,0
991,10 идей новогодних подарков гику,https://www.gb.ru/posts/geeks_new_year_gifts,37006,15
992,С++ как первый язык: путь преподавателя GeekBrains,https://www.gb.ru/posts/gu_teacher_cpp,29780,8
993,15 крутых штук для рабочего стола айтишника,https://www.gb.ru/posts/cool_stuff_for_workplace,33942,14
994,Кому подходит «удаленка» и в каких сферах ее проще найти,https://www.gb.ru/posts/remote_work_howto,38023,26
